species	SRR11207337_metagenome_mock_dna_R1
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__BAC	291676.62
1_CP011051_1_Bacillus_intestinalis_strain_T30__BAC	263654.56
1_U00096_3_Escherichia_coli_str__K_12_substr__MG1655__BAC	221363.95
1_AE006468_2_Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2__BAC	201279.48
1_AE017262_2_Listeria_monocytogenes_str__4b_F2365__BAC	278106.77
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__BAC	196175.92
1_AJ938182_1_Staphylococcus_aureus_RF122_BAC	208104.56
1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__BAC	90352.03
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence	9332.24
1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__BAC	3341.65
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence	9473.77
CP011561.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XV__complete_sequence	9391.59
CP011558.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XII__complete_sequence	9362.79
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence	9502.56
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence	9539.45
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence	12644.8
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence	9787.29
CP003828.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1186808_reverse_complement_	6257.95
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence	9250.29
CP003822.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1575141_reverse_complement_	4580.55
CP003821.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1621675_reverse_complement_	4325.14
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence	9337.38
CP003824.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1814975_reverse_complement_	3519.6
CP003831.1_Cryptococcus_neoformans_var._grubii_H99_1_to_774062_reverse_complement_	6719.12
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence	9419.54
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence	9119.51
CP003830.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1561994_reverse_complement_	3268.91
CP003825.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1422463_reverse_complement_	3376.54
CP003827.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1398693_reverse_complement_	3318.82
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence	9156.13
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence	8856.44
CP003834.1_Cryptococcus_neoformans_var._grubii_H99_1_to_24919_reverse_complement_	108707.87
CP011552.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VI__complete_sequence	8285.21
CP011547.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_I__complete_sequence	7450.37
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__BAC	5845.82
